method,group,n,lec_mean,lec_std,ies_mean,ies_std
hypothesis,C_High_High,7,12.714285714285714,1.3801311186847085,30.142857142857142,7.988086367179802
hypothesis,A_Low_Low,4,8.0,1.4142135623730951,5.75,4.425306015783918
hypothesis,B_High_Low,4,12.5,1.9148542155126762,4.75,8.180260794538684
hierarchical_k2,cluster_1,10,12.7,1.636391694484477,25.0,11.661903789690601
hierarchical_k2,cluster_2,7,8.285714285714286,2.5634797778466227,9.142857142857142,14.182484166846693
hierarchical_k3,cluster_1,10,12.7,1.636391694484477,25.0,11.661903789690601
hierarchical_k3,cluster_3,1,4.0,,40.0,
hierarchical_k3,cluster_2,6,9.0,1.8973665961010275,4.0,4.381780460041329
hierarchical_k4,cluster_2,7,12.0,1.2909944487358056,30.571428571428573,7.2768386647211685
hierarchical_k4,cluster_4,1,4.0,,40.0,
hierarchical_k4,cluster_3,6,9.0,1.8973665961010275,4.0,4.381780460041329
hierarchical_k4,cluster_1,3,14.333333333333334,1.1547005383792517,12.0,9.539392014169456
