,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_neg[0],0.399,0.204,0.049,0.761,0.007,0.005,727.0,682.0,1.0
alpha_pos[0],0.699,0.164,0.393,0.968,0.005,0.005,877.0,574.0,1.0
beta[0],6.471,1.669,3.614,9.559,0.057,0.073,870.0,589.0,1.01
mu_alpha_neg,0.397,0.198,0.051,0.753,0.007,0.005,752.0,526.0,1.0
mu_alpha_pos,0.695,0.163,0.386,0.959,0.005,0.005,812.0,492.0,1.0
mu_beta,2.97,1.811,0.132,6.139,0.092,0.069,342.0,296.0,1.0
sigma_alpha_neg,0.238,0.166,0.0,0.54,0.006,0.005,577.0,389.0,1.01
sigma_alpha_pos,0.228,0.176,0.002,0.542,0.006,0.006,634.0,542.0,1.0
sigma_beta,1.545,1.021,0.043,3.473,0.048,0.034,375.0,504.0,1.01
z_alpha_neg[0],0.075,1.081,-1.922,2.109,0.037,0.037,876.0,509.0,1.0
z_alpha_pos[0],0.081,0.976,-1.895,1.864,0.037,0.032,688.0,629.0,1.0
z_beta[0],0.713,0.573,-0.325,1.889,0.031,0.026,366.0,424.0,1.0
