group,n,model,aggregate_aic,akaike_weight,wins,win_pct
No Trauma,1,M1,1168.5146484375,5.744562455686488e-13,0,0.0
No Trauma,1,M2,1140.0450439453125,8.736812631135902e-07,0,0.0
No Trauma,1,M3,1133.8287353515625,1.955272454272825e-05,0,0.0
No Trauma,1,M5,1120.9185791015625,0.012434035184432623,0,0.0
No Trauma,1,M6a,1112.7955322265625,0.7219536376418232,1,100.0
No Trauma,1,M6b,1114.7955322265625,0.2655919007673639,0,0.0
Trauma - No Ongoing Impact,60,M1,54136.298095703125,0.0,0,0.0
Trauma - No Ongoing Impact,60,M2,52029.88558959961,0.0,3,5.0
Trauma - No Ongoing Impact,60,M3,50660.165435791016,3.522363096898566e-173,8,13.333333333333334
Trauma - No Ongoing Impact,60,M5,50159.85314941406,1.5426475842669923e-64,15,25.0
Trauma - No Ongoing Impact,60,M6a,50399.72543334961,1.2608461191841388e-116,23,38.333333333333336
Trauma - No Ongoing Impact,60,M6b,49865.9892578125,1.0,11,18.333333333333332
Trauma - Ongoing Impact,101,M1,88374.92007446289,0.0,1,0.9900990099009901
Trauma - Ongoing Impact,101,M2,84385.4379272461,0.0,1,0.9900990099009901
Trauma - Ongoing Impact,101,M3,82358.83416748047,5.0482679510944985e-285,11,10.891089108910892
Trauma - Ongoing Impact,101,M5,81584.51055908203,7.00450687169762e-117,24,23.762376237623762
Trauma - Ongoing Impact,101,M6a,81793.57504272461,2.8028622974704926e-162,40,39.603960396039604
Trauma - Ongoing Impact,101,M6b,81049.59875488281,1.0,24,23.762376237623762
