participant_id,aic_M1,aic_M2,aic_M3,aic_M5,aic_M6a,aic_M6b,winning_model,m6b_nll,m6b_aic,m6b_n_trials,m6b_alpha,m6b_phi,m6b_rho,m6b_capacity,m6b_kappa_total,m6b_kappa_share,m6b_epsilon
10000,1601.0509033203125,1498.0382080078125,1470.70068359375,1460.7496337890625,1431.4254150390625,1433.4254150390625,M6a,709.7127075195312,1433.4254150390625,988,0.0055483202449977,0.3257994055747986,0.3616646826267242,2.314682006835937,0.8486090898513794,6.389455553849372e-29,0.1071441993117332
9187,1731.1865234375,1722.115234375,1710.8028564453125,1699.4140625,1669.171142578125,1671.171142578125,M6a,828.5855712890625,1671.171142578125,990,0.0102775245904922,0.3749221265316009,0.1714229583740234,3.0,0.9999823570251464,2.9748756372383797e-15,0.256714403629303
10002,977.3806762695312,965.2493896484376,932.4334106445312,930.3724365234376,944.5587768554688,928.9515991210938,M6b,457.4757995605469,928.9515991210938,986,0.028439586982131,0.2546202540397644,0.33192178606987,2.0,1.0,0.590158998966217,0.0989237502217292
10003,1433.494384765625,1275.283203125,1250.79833984375,1233.892578125,1228.5162353515625,1225.1536865234375,M6b,605.5768432617188,1225.1536865234375,973,0.0030649066902697,0.1637322902679443,0.1883103549480438,2.208893299102783,0.786239743232727,0.2820912301540375,0.007722180802375
10004,821.3636474609375,806.3148803710938,751.4127197265625,753.4154052734375,806.6741333007812,753.4126586914062,M3,369.7063293457031,753.4126586914062,990,0.0167721156030893,0.0688411071896553,0.3958807587623596,2.3971242904663086,1.0,1.0,0.0922488644719123
10005,936.3023071289062,865.56787109375,854.8370361328125,849.687255859375,804.0365600585938,805.826416015625,M6a,395.9132080078125,805.826416015625,985,0.0050912383012473,0.1218081563711166,0.2718546390533447,2.0890557765960693,1.0,0.0486993417143821,0.0251028072088956
10006,811.0402221679688,719.2747802734375,708.6095581054688,707.439208984375,693.6390991210938,691.7213134765625,M6b,338.86065673828125,691.7213134765625,987,0.0056099244393408,0.0982507690787315,0.3999572694301605,2.0,1.0,0.2711925208568573,0.0333917401731014
10016,892.6576538085938,832.6592407226562,808.4204711914062,791.6520385742188,816.5413208007812,802.8595581054688,M5,394.4297790527344,802.8595581054688,987,0.0055572241544723,0.0993066057562828,0.1608166992664337,4.999999523162842,1.0,0.6005076766014099,0.0436297953128814
10017,827.2874145507812,827.2103271484375,774.9093627929688,776.5607299804688,821.4824829101562,776.9093627929688,M3,381.4546813964844,776.9093627929688,986,0.0010000000474974,0.0182706508785486,0.5369417071342468,2.0,1.0,1.0,0.10728220641613
10018,1252.8262939453125,1176.14697265625,1162.3724365234375,1142.5284423828125,1153.3746337890625,1149.3648681640625,M5,567.6824340820312,1149.3648681640625,986,0.0088174287229776,0.2016624808311462,0.203888326883316,2.0,0.7742022275924683,0.3614968359470367,0.0405326150357723
10024,632.8497314453125,586.8970947265625,536.3878784179688,531.8667602539062,574.8522338867188,537.0008544921875,M5,261.5004272460937,537.0008544921875,718,0.0091852955520153,0.1139273419976234,0.1706550270318985,3.230787754058838,1.0,0.8570302724838257,0.0010000000474974
10025,601.7063598632812,574.5770874023438,530.220703125,523.6685485839844,508.1679992675781,506.27294921875,M6b,246.136474609375,506.27294921875,414,0.0010000000474974,0.0010000000474974,0.0789860188961029,2.0,1.0,0.2691972255706787,0.0175250601023435
10027,641.3211669921875,614.6468505859375,604.0799560546875,605.306396484375,589.227294921875,587.4078979492188,M6b,286.7039489746094,587.4078979492188,718,0.0129879945889115,0.1184751167893409,0.2103993743658065,2.0,1.0,0.2650401890277862,0.0309998672455549
10028,1468.0926513671875,1422.113037109375,1420.182861328125,1408.3675537109375,1409.2701416015625,1410.92529296875,M5,698.462646484375,1410.92529296875,699,0.0014529809122905,0.4876510500907898,0.1397341936826706,5.105884075164795,0.354762315750122,0.1437232047319412,0.0010000001639127
10029,587.437744140625,573.5128784179688,566.9183959960938,566.8486938476562,565.0160522460938,567.0160522460938,M6a,276.5080261230469,567.0160522460938,720,0.0204774197191,0.2495305389165878,0.323788970708847,4.143609046936035,0.7298825979232788,1.609491195470319e-22,0.0488016903400421
10030,524.3417358398438,504.4786682128906,465.5372619628906,467.3507080078125,502.0909729003906,467.5372619628906,M3,226.7686309814453,467.5372619628906,716,0.0109218144789338,0.0010000000474974,0.1848841607570648,2.0,1.0,1.0,0.0312768220901489
10031,781.062744140625,764.7734375,761.5411376953125,758.9892578125,747.8832397460938,749.876220703125,M6a,367.9381103515625,749.876220703125,719,0.0100883645936846,0.1252833604812622,0.1819055378437042,3.0,0.8434861898422241,0.0181855130940675,0.0886754021048545
10035,738.9307861328125,671.3570556640625,661.932373046875,655.7246704101562,644.7125244140625,646.2837524414062,M6a,316.1418762207031,646.2837524414062,717,0.0061115585267543,0.1534283012151718,0.2611009180545807,2.0,0.7763210535049438,0.1141977459192276,0.0010000000474974
10036,1157.9656982421875,1054.4300537109375,1055.442138671875,1033.8087768554688,1014.9429931640624,1016.9429931640624,M6a,501.4714965820313,1016.9429931640624,713,0.0044090575538575,0.3053931593894958,0.3700552880764007,2.0,0.7816426753997803,1.8207110263901427e-09,0.054401509463787
10039,807.194580078125,739.4222412109375,747.186767578125,725.6104736328125,728.9606323242188,727.9785766601562,M5,356.9892883300781,727.9785766601562,711,0.0056444001384079,0.1360198855400085,0.2043262124061584,2.437433242797852,1.0,0.2313394695520401,0.0421006642282009
10041,1380.9608154296875,1341.04833984375,1304.427001953125,1299.3170166015625,1315.5732421875,1290.1009521484375,M6b,638.0504760742188,1290.1009521484375,696,0.0030510989017784,0.4298522174358368,0.2773240506649017,2.0,1.0,0.5511311292648315,0.1418210566043853
