winning_model,m6b_parameter,n,median,q25,q75,mean,sd,H_statistic,p_value,eta_squared_h
M1,alpha,1,0.042357962578535,0.042357962578535,0.042357962578535,0.042357962578535,,9.200797429493704,0.056271847096363105,0.03333844506085708
M2,alpha,4,0.0075073565822094,0.0057591507211326755,0.009730535093694875,0.00798232923261815,0.0034337574091660495,9.200797429493704,0.056271847096363105,0.03333844506085708
M3,alpha,19,0.0109218144789338,0.007657874375581701,0.1646783109754324,0.1551804831619129,0.27664210037776293,9.200797429493704,0.056271847096363105,0.03333844506085708
M5,alpha,39,0.0076521048322319,0.0055007711052894,0.0115517880767583,0.024288716899135507,0.05974775085210706,9.200797429493704,0.056271847096363105,0.03333844506085708
M6a,alpha,64,0.0061734016053378,0.0038913051830604503,0.009511663578450624,0.013015876640565648,0.03492291715291873,9.200797429493704,0.056271847096363105,0.03333844506085708
M6b,alpha,35,0.0056099244393408,0.00305222766473885,0.010388242546468949,0.025890670656891757,0.07004587116603996,9.200797429493704,0.056271847096363105,0.03333844506085708
M1,phi,1,0.1100028306245803,0.1100028306245803,0.1100028306245803,0.1100028306245803,,14.117312277402032,0.006929903933716899,0.06485456588078226
M2,phi,4,0.13482032716274256,0.11741228029131882,0.156034093350172,0.13862604647874827,0.02876663711402404,14.117312277402032,0.006929903933716899,0.06485456588078226
M3,phi,19,0.0354273281991481,0.0190311688929796,0.21336194127798075,0.1668116057009779,0.271170292964948,14.117312277402032,0.006929903933716899,0.06485456588078226
M5,phi,39,0.1324520856142044,0.07649222388863561,0.2040985897183418,0.15604150825096533,0.11372568709021774,14.117312277402032,0.006929903933716899,0.06485456588078226
M6a,phi,64,0.17157011479139322,0.12507640197873116,0.2570614218711853,0.2085776704625459,0.11876535725080134,14.117312277402032,0.006929903933716899,0.06485456588078226
M6b,phi,35,0.1510460078716278,0.1021947935223579,0.21515075862407684,0.2243101666515161,0.2177527257744088,14.117312277402032,0.006929903933716899,0.06485456588078226
M1,rho,1,0.1349757313728332,0.1349757313728332,0.1349757313728332,0.1349757313728332,,9.093215504851436,0.058811302255729746,0.032648817338791256
M2,rho,4,0.33660136908292765,0.20587523654103274,0.4813076704740524,0.35058153793215746,0.18615515164871427,9.093215504851436,0.058811302255729746,0.032648817338791256
M3,rho,19,0.3516006767749786,0.18066350370645518,0.6786672472953796,0.42828500859047236,0.31594983239460867,9.093215504851436,0.058811302255729746,0.032648817338791256
M5,rho,39,0.1608166992664337,0.10155275464057914,0.2835285812616348,0.2481556555781609,0.22678062473742247,9.093215504851436,0.058811302255729746,0.032648817338791256
M6a,rho,64,0.2239218354225158,0.164071075618267,0.2907831817865371,0.2648524137912318,0.17838475912374527,9.093215504851436,0.058811302255729746,0.032648817338791256
M6b,rho,35,0.1848108470439911,0.11419238895177836,0.29745748639106745,0.2748744075851781,0.2588171909621716,9.093215504851436,0.058811302255729746,0.032648817338791256
M1,capacity,1,2.0,2.0,2.0,2.0,,2.517188596104614,0.6415605762592754,-0.009505201307021705
M2,capacity,4,2.4999998807907104,2.0,3.3883703351020813,2.888370454311371,1.206021265067868,2.517188596104614,0.6415605762592754,-0.009505201307021705
M3,capacity,19,2.7895779609680176,2.0,5.232163667678833,3.654725099864759,1.7369899857009532,2.517188596104614,0.6415605762592754,-0.009505201307021705
M5,capacity,39,2.999999761581421,2.0,4.999999761581421,3.5612305983518944,1.5790623511099482,2.517188596104614,0.6415605762592754,-0.009505201307021705
M6a,capacity,64,2.999999761581421,2.0,3.661884844303131,3.158835168927908,1.27771127414217,2.517188596104614,0.6415605762592754,-0.009505201307021705
M6b,capacity,35,2.208893299102783,2.0,4.453250527381897,3.1423351628439766,1.4307052371325781,2.517188596104614,0.6415605762592754,-0.009505201307021705
M1,kappa_total,1,-0.4321142435073852,-0.4321142435073852,-0.4321142435073852,-0.4321142435073852,,15.746374251741427,0.003379075664657869,0.07529727084449633
M2,kappa_total,4,1.0,0.8952682018280029,1.0,0.8952682018280029,0.20946359634399414,15.746374251741427,0.003379075664657869,0.07529727084449633
M3,kappa_total,19,1.0,1.0,1.0,0.8524032956675479,0.4733298564098506,15.746374251741427,0.003379075664657869,0.07529727084449633
M5,kappa_total,39,1.0,0.5625808238983154,1.0,0.7170221499907665,0.49154207600745486,15.746374251741427,0.003379075664657869,0.07529727084449633
M6a,kappa_total,64,0.9650892019271851,0.7803122699260712,1.0,0.8705489207059145,0.16941918765285247,15.746374251741427,0.003379075664657869,0.07529727084449633
M6b,kappa_total,35,1.0,0.9884257316589355,1.0,0.9581479753766741,0.10365135715805304,15.746374251741427,0.003379075664657869,0.07529727084449633
M1,kappa_share,1,2.938758297831148e-39,2.938758297831148e-39,2.938758297831148e-39,2.938758297831148e-39,,98.63769757017201,1.9179037813102235e-20,0.6066519075011026
M2,kappa_share,4,0.1673828028142452,0.06425217725646014,0.2840746864676475,0.18094406090986245,0.1729685656019172,98.63769757017201,1.9179037813102235e-20,0.6066519075011026
M3,kappa_share,19,1.0,1.0,1.0,0.9589188443986993,0.10576471621498232,98.63769757017201,1.9179037813102235e-20,0.6066519075011026
M5,kappa_share,39,0.6985685229301453,0.16221749037504196,0.8928582966327667,0.5753734960959562,0.38284526972095084,98.63769757017201,1.9179037813102235e-20,0.6066519075011026
M6a,kappa_share,64,3.1008389432540806e-11,4.680832201974027e-20,0.08499276824295512,0.04481669282693105,0.07442188437322525,98.63769757017201,1.9179037813102235e-20,0.6066519075011026
M6b,kappa_share,35,0.3416438996791839,0.2671187072992325,0.5111236572265625,0.37461077315466745,0.1381685297369942,98.63769757017201,1.9179037813102235e-20,0.6066519075011026
M1,epsilon,1,0.0812386721372604,0.0812386721372604,0.0812386721372604,0.0812386721372604,,9.724337811197914,0.045336209001096445,0.03669447314870458
M2,epsilon,4,0.09330755099654195,0.07252868916839357,0.10276222229003905,0.08198336046189067,0.036882991218560646,9.724337811197914,0.045336209001096445,0.03669447314870458
M3,epsilon,19,0.0776932090520858,0.048626137897372204,0.10463624820113175,0.08325069348670931,0.04171925539838212,9.724337811197914,0.045336209001096445,0.03669447314870458
M5,epsilon,39,0.0558608919382095,0.0370351411402225,0.09602976962924001,0.06744850838544941,0.05529145209958993,9.724337811197914,0.045336209001096445,0.03669447314870458
M6a,epsilon,64,0.07122555375099175,0.04933016840368505,0.13224816322326655,0.08590891954190734,0.05684425260573459,9.724337811197914,0.045336209001096445,0.03669447314870458
M6b,epsilon,35,0.0499864444136619,0.016941529698669848,0.09481204301118845,0.058129081020264706,0.054671464227407984,9.724337811197914,0.045336209001096445,0.03669447314870458
