Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
alpha (Learning Rate) ~ IES-R Avoidance,alpha_mean,ies_avoidance,162,-0.004,0.003,-1.64,0.103,0.017,"[-0.009, 0.001]",-0.128,0.461,False,0.599,0.0000,False,3.207,0.0733,True
alpha (Learning Rate) ~ IES-R Hyperarousal,alpha_mean,ies_hyperarousal,162,-0.005,0.003,-1.62,0.107,0.016,"[-0.011, 0.001]",-0.127,0.461,False,0.598,0.0000,False,3.516,0.0608,True
alpha (Learning Rate) ~ IES-R Intrusion,alpha_mean,ies_intrusion,162,-0.003,0.003,-1.08,0.280,0.007,"[-0.009, 0.003]",-0.085,0.625,False,0.565,0.0000,False,0.685,0.4080,True
alpha (Learning Rate) ~ IES-R Total Score,alpha_mean,ies_total,162,-0.002,0.001,-1.58,0.115,0.015,"[-0.004, 0.000]",-0.124,0.461,False,0.595,0.0000,False,2.747,0.0974,True
alpha (Learning Rate) ~ LEC-5 Personal Events,alpha_mean,lec_personal_events,162,-0.005,0.008,-0.63,0.531,0.002,"[-0.022, 0.011]",-0.050,0.637,False,0.541,0.0000,False,0.004,0.9489,True
alpha (Learning Rate) ~ LEC-5 Total Events,alpha_mean,lec_total_events,162,-0.004,0.006,-0.75,0.456,0.003,"[-0.016, 0.007]",-0.059,0.625,False,0.551,0.0000,False,0.824,0.3641,True
epsilon (Random Responding) ~ IES-R Avoidance,epsilon_mean,ies_avoidance,162,0.001,0.001,0.98,0.329,0.006,"[-0.001, 0.004]",0.077,0.625,False,0.837,0.0000,False,0.042,0.8371,True
epsilon (Random Responding) ~ IES-R Hyperarousal,epsilon_mean,ies_hyperarousal,162,0.001,0.002,0.93,0.352,0.005,"[-0.002, 0.004]",0.074,0.625,False,0.840,0.0000,False,0.591,0.4421,True
epsilon (Random Responding) ~ IES-R Intrusion,epsilon_mean,ies_intrusion,162,0.001,0.002,0.46,0.646,0.001,"[-0.002, 0.004]",0.036,0.705,False,0.835,0.0000,False,0.220,0.6393,True
epsilon (Random Responding) ~ IES-R Total Score,epsilon_mean,ies_total,162,0.000,0.001,0.87,0.386,0.005,"[-0.001, 0.001]",0.068,0.625,False,0.838,0.0000,False,0.263,0.6083,True
epsilon (Random Responding) ~ LEC-5 Personal Events,epsilon_mean,lec_personal_events,162,-0.001,0.004,-0.19,0.849,0.000,"[-0.009, 0.008]",-0.015,0.849,False,0.832,0.0000,False,0.001,0.9726,True
epsilon (Random Responding) ~ LEC-5 Total Events,epsilon_mean,lec_total_events,162,-0.002,0.003,-0.73,0.469,0.003,"[-0.008, 0.004]",-0.057,0.625,False,0.830,0.0000,False,0.239,0.6252,True
