parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
alpha_mean,ies_avoidance,162,-0.004188371809320563,0.002555511951810723,-1.6389560637166527,0.1031872679810819,0.4612866445543967,1.0,False,False,False,0.016511402681395282
alpha_mean,ies_hyperarousal,162,-0.004887344424699313,0.0030108019936757584,-1.6232699576276568,0.10650030977749375,0.4612866445543967,1.0,False,False,False,0.01620195695003901
alpha_mean,ies_total,162,-0.0016206537333541173,0.0010235751098040425,-1.5833266340995553,0.11532166113859918,0.4612866445543967,1.0,False,False,False,0.015426562637562813
alpha_mean,ies_intrusion,162,-0.0032183705043752316,0.0029715218826673524,-1.0830714467047096,0.28040619775981873,0.6252244842074965,1.0,False,False,False,0.007278163465247345
epsilon_mean,ies_avoidance,162,0.0012678914735307933,0.001294390360135531,0.9795279017668495,0.3287979734636547,0.6252244842074965,1.0,False,False,False,0.0059609719208778555
epsilon_mean,ies_hyperarousal,162,0.0014243064159941026,0.001525173101474794,0.9338654180412987,0.3517805066888193,0.6252244842074965,1.0,False,False,False,0.005421105300256079
epsilon_mean,ies_total,162,0.000450296969430828,0.0005184951931863683,0.8684689373175596,0.38643846957623396,0.6252244842074965,1.0,False,False,False,0.0046918719100954576
alpha_mean,lec_total_events,162,-0.004498014438950113,0.0060145067877888795,-0.7478608966045782,0.45564184989228806,0.6252244842074965,1.0,False,False,False,0.0034834228529910805
epsilon_mean,lec_total_events,162,-0.0022000474540691877,0.0030304977096681516,-0.7259690205507858,0.4689183631556224,0.6252244842074965,1.0,False,False,False,0.0032831294234663133
alpha_mean,lec_personal_events,162,-0.005314033713164417,0.008454724259410188,-0.6285283292651263,0.530554107910953,0.6366649294931436,1.0,False,False,False,0.0024629679404564175
epsilon_mean,ies_intrusion,162,0.0006906412829363843,0.001501580185651568,0.4599429917468577,0.6461815360032639,0.7049253120035607,1.0,False,False,False,0.0013204263917593329
epsilon_mean,lec_personal_events,162,-0.0008135844123416582,0.0042643794325951355,-0.1907861214513321,0.8489350307845831,0.8489350307845831,1.0,False,False,False,0.00022744415825182163
