Parameter,Predictor,β,SE,95% CI,t,p
alpha_mean,ies_intrusion,0.003,0.002,"[-0.001, 0.008]",1.42,0.159
alpha_mean,ies_avoidance,-0.003,0.002,"[-0.006, 0.001]",-1.65,0.102
alpha_mean,ies_hyperarousal,-0.002,0.002,"[-0.006, 0.003]",-0.69,0.489
phi_mean,ies_intrusion,-0.002,0.003,"[-0.009, 0.004]",-0.69,0.489
phi_mean,ies_avoidance,-0.000,0.003,"[-0.005, 0.005]",-0.13,0.897
phi_mean,ies_hyperarousal,0.002,0.003,"[-0.005, 0.008]",0.47,0.639
rho_mean,ies_intrusion,0.000,0.005,"[-0.009, 0.010]",0.02,0.984
rho_mean,ies_avoidance,-0.000,0.004,"[-0.007, 0.007]",-0.07,0.940
rho_mean,ies_hyperarousal,-0.000,0.005,"[-0.009, 0.009]",-0.00,0.997
wm_capacity_mean,ies_intrusion,0.027,0.027,"[-0.026, 0.080]",1.01,0.312
wm_capacity_mean,ies_avoidance,-0.005,0.020,"[-0.045, 0.034]",-0.27,0.787
wm_capacity_mean,ies_hyperarousal,0.009,0.027,"[-0.043, 0.062]",0.35,0.723
epsilon_mean,ies_intrusion,-0.001,0.002,"[-0.004, 0.003]",-0.39,0.697
epsilon_mean,ies_avoidance,-0.000,0.001,"[-0.003, 0.002]",-0.09,0.929
epsilon_mean,ies_hyperarousal,0.001,0.002,"[-0.002, 0.005]",0.85,0.396
