Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,154,-0.008,0.013,-0.59,0.557,0.002,"[-0.033, 0.018]",-0.048,0.743,False,0.898,0.0000,False,1.235,0.2665,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,154,0.012,0.015,0.78,0.434,0.004,"[-0.018, 0.041]",0.063,0.652,False,0.909,0.0000,False,3.085,0.0790,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,154,0.004,0.015,0.26,0.796,0.000,"[-0.025, 0.033]",0.021,0.891,False,0.902,0.0000,False,1.840,0.1750,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,154,0.001,0.005,0.12,0.901,0.000,"[-0.009, 0.011]",0.010,0.927,False,0.901,0.0000,False,2.262,0.1326,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,154,-0.063,0.041,-1.51,0.133,0.015,"[-0.144, 0.019]",-0.122,0.369,False,0.911,0.0000,False,0.592,0.4417,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,154,-0.017,0.029,-0.59,0.556,0.002,"[-0.073, 0.040]",-0.048,0.743,False,0.902,0.0000,False,0.044,0.8334,True
alpha+ (Positive Learning Rate) ~ IES-R Avoidance,alpha_pos_mean,ies_avoidance,154,-0.001,0.001,-0.97,0.334,0.006,"[-0.004, 0.001]",-0.078,0.546,False,0.242,0.0000,False,1.127,0.2884,True
alpha+ (Positive Learning Rate) ~ IES-R Hyperarousal,alpha_pos_mean,ies_hyperarousal,154,-0.002,0.002,-1.13,0.261,0.008,"[-0.005, 0.001]",-0.091,0.495,False,0.245,0.0000,False,1.294,0.2554,True
alpha+ (Positive Learning Rate) ~ IES-R Intrusion,alpha_pos_mean,ies_intrusion,154,-0.001,0.001,-0.84,0.403,0.005,"[-0.004, 0.002]",-0.068,0.631,False,0.233,0.0000,False,0.708,0.4001,True
alpha+ (Positive Learning Rate) ~ IES-R Total Score,alpha_pos_mean,ies_total,154,-0.001,0.001,-1.06,0.290,0.007,"[-0.002, 0.000]",-0.086,0.507,False,0.243,0.0000,False,1.207,0.2720,True
alpha+ (Positive Learning Rate) ~ LEC-5 Personal Events,alpha_pos_mean,lec_personal_events,154,0.000,0.004,0.00,0.997,0.000,"[-0.008, 0.008]",0.000,0.997,False,0.216,0.0000,False,0.003,0.9581,True
alpha+ (Positive Learning Rate) ~ LEC-5 Total Events,alpha_pos_mean,lec_total_events,154,-0.004,0.003,-1.33,0.187,0.011,"[-0.010, 0.002]",-0.107,0.396,False,0.252,0.0000,False,1.111,0.2918,True
alpha- (Negative Learning Rate) ~ IES-R Avoidance,alpha_neg_mean,ies_avoidance,154,-0.000,0.001,-0.13,0.893,0.000,"[-0.002, 0.002]",-0.011,0.927,False,0.089,0.0000,False,0.165,0.6843,True
alpha- (Negative Learning Rate) ~ IES-R Hyperarousal,alpha_neg_mean,ies_hyperarousal,154,-0.000,0.001,-0.23,0.817,0.000,"[-0.002, 0.002]",-0.019,0.891,False,0.092,0.0000,False,0.190,0.6627,True
alpha- (Negative Learning Rate) ~ IES-R Intrusion,alpha_neg_mean,ies_intrusion,154,-0.000,0.001,-0.31,0.756,0.001,"[-0.002, 0.002]",-0.025,0.891,False,0.095,0.0000,False,0.241,0.6232,True
