parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
wm_capacity_mean,ies_intrusion,162,0.02997075233428757,0.014056193695725949,2.1322096851440473,0.03451577119293715,0.4412664400627873,1.0,True,False,False,0.027629412756076666
phi_mean,lec_personal_events,162,0.010321103483788629,0.004999736152208699,2.0643296305204317,0.040600752511288425,0.4412664400627873,1.0,True,False,False,0.02594313301400386
wm_capacity_mean,ies_total,162,0.009672839567388089,0.004870738241962289,1.985908313457461,0.048751792994703405,0.4412664400627873,1.0,True,False,False,0.0240559939672631
wm_capacity_mean,ies_hyperarousal,162,0.027302114093929363,0.01434682458733248,1.903007451421393,0.058835525341704976,0.4412664400627873,1.0,False,False,False,0.022133024978834515
alpha_mean,ies_avoidance,162,-0.0017354932914188522,0.0010868871896388909,-1.5967556780160923,0.11229334583003378,0.47858412078132795,1.0,False,False,False,0.015685232354829326
wm_capacity_mean,lec_personal_events,162,0.06312140818174315,0.04015068508871512,1.5721128554163641,0.11789978180120679,0.47858412078132795,1.0,False,False,False,0.015212134063363303
epsilon_mean,lec_personal_events,162,-0.003724062020609205,0.002450869947323746,-1.5194857747045023,0.13061387119716336,0.47858412078132795,1.0,False,False,False,0.014224961880858755
wm_capacity_mean,ies_avoidance,162,0.018310029654105706,0.012230930487779798,1.4970267121049927,0.13635640093404428,0.47858412078132795,1.0,False,False,False,0.013813325532331722
phi_mean,lec_total_events,162,0.005264151182903423,0.003581503614159775,1.4698159627959497,0.14357523623439838,0.47858412078132795,1.0,False,False,False,0.013322361755272794
alpha_mean,ies_total,162,-0.000496794455064407,0.00043678856151068573,-1.1373797274960307,0.25707999503264456,0.713782492094442,1.0,False,False,False,0.00802035779905852
rho_mean,lec_personal_events,162,-0.008057189179652832,0.007153798984628547,-1.126281182482959,0.2617329609390344,0.713782492094442,1.0,False,False,False,0.007865821464496658
alpha_mean,ies_hyperarousal,162,-0.0013779505888942734,0.0012858802437357355,-1.0716010263063498,0.2855129968377768,0.713782492094442,1.0,False,False,False,0.007125911689062736
rho_mean,lec_total_events,162,-0.005017523407733702,0.005096392018657384,-0.9845246184683298,0.3263440648682241,0.7531016881574402,1.0,False,False,False,0.006021575494626896
wm_capacity_mean,lec_total_events,162,0.025701124048322713,0.028725042297635076,0.894728849552945,0.3722760327757396,0.7772653510951748,1.0,False,False,False,0.004978464099965607
epsilon_mean,ies_hyperarousal,162,0.000763406261236407,0.0008831079921286219,0.8644540283191313,0.3886326755475874,0.7772653510951748,1.0,False,False,False,0.004648792586171235
phi_mean,ies_intrusion,162,-0.001356637793402205,0.0017815564367678692,-0.7614902146257241,0.4474852493028635,0.7904893297665653,1.0,False,False,False,0.0036110837339143886
alpha_mean,lec_personal_events,162,0.0027327506710389574,0.003592321368777592,0.7607199886932353,0.447943953534387,0.7904893297665653,1.0,False,False,False,0.0036038087216583303
alpha_mean,lec_total_events,162,0.0016312504792524991,0.0025581784271498497,0.6376609473131741,0.5246058896806844,0.8145803520860654,1.0,False,False,False,0.00253487982800249
epsilon_mean,ies_total,162,0.00019032917218385773,0.0003004333050256815,0.6335155556990864,0.5273015697650043,0.8145803520860654,1.0,False,False,False,0.002502110982428918
phi_mean,ies_total,162,-0.0003758288641518022,0.0006166121150494514,-0.6095061303193196,0.5430535680573769,0.8145803520860654,1.0,False,False,False,0.002316482218921112
phi_mean,ies_avoidance,162,-0.0008594711728065048,0.0015406048716458704,-0.5578790438902794,0.5777067231766587,0.8252953188237983,1.0,False,False,False,0.0019414050375619052
epsilon_mean,ies_avoidance,162,0.00035108069021934065,0.0007509192125354344,0.4675345687772955,0.640753608434141,0.8437314179006088,1.0,False,False,False,0.00136431468376208
epsilon_mean,ies_intrusion,162,0.00038369929934438726,0.0008691549985214994,0.4414624549097569,0.6594742555947442,0.8437314179006088,1.0,False,False,False,0.0012165750117933971
alpha_mean,ies_intrusion,162,-0.0004976941125782316,0.0012673020852409789,-0.392719398456284,0.6950494466098563,0.8437314179006088,1.0,False,False,False,0.0009630000240605785
phi_mean,ies_hyperarousal,162,-0.0006562998299461903,0.0018158166380592474,-0.36143507895579496,0.7182510619259994,0.8437314179006088,1.0,False,False,False,0.0008158046462612978
epsilon_mean,lec_total_events,162,-0.0006043099298109671,0.0017562791952254997,-0.3440853432949628,0.731233895513861,0.8437314179006088,1.0,False,False,False,0.0007394198753670755
rho_mean,ies_avoidance,162,-0.00021798044106108327,0.002186232534006531,-0.0997059725671579,0.9207025759140249,0.951069121509551,1.0,False,False,False,6.212914576408934e-05
rho_mean,ies_total,162,-7.377300393651454e-05,0.0008751905279664492,-0.08429364987293676,0.9329283374789729,0.951069121509551,1.0,False,False,False,4.440689924523067e-05
rho_mean,ies_hyperarousal,162,-0.00017522239147575323,0.002575369380401606,-0.06803777074045543,0.9458405180552738,0.951069121509551,1.0,False,False,False,2.8931277002652855e-05
rho_mean,ies_intrusion,162,-0.00015551532712938072,0.0025303267766237365,-0.06146057045520729,0.951069121509551,0.951069121509551,1.0,False,False,False,2.3608203393532534e-05
