Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,-0.013,0.011,"[-0.036, 0.010]",-1.18,0.246
alpha_pos_mean,ies_avoidance,0.006,0.008,"[-0.010, 0.023]",0.78,0.440
alpha_pos_mean,ies_hyperarousal,0.019,0.015,"[-0.012, 0.049]",1.24,0.221
alpha_neg_mean,ies_intrusion,-0.002,0.011,"[-0.024, 0.020]",-0.21,0.833
alpha_neg_mean,ies_avoidance,0.005,0.008,"[-0.012, 0.021]",0.59,0.562
alpha_neg_mean,ies_hyperarousal,0.005,0.015,"[-0.024, 0.035]",0.36,0.723
phi_mean,ies_intrusion,0.005,0.009,"[-0.012, 0.023]",0.62,0.538
phi_mean,ies_avoidance,0.004,0.006,"[-0.009, 0.017]",0.60,0.550
phi_mean,ies_hyperarousal,-0.014,0.012,"[-0.038, 0.009]",-1.22,0.228
rho_mean,ies_intrusion,-0.002,0.012,"[-0.026, 0.022]",-0.17,0.866
rho_mean,ies_avoidance,-0.001,0.009,"[-0.019, 0.017]",-0.14,0.889
rho_mean,ies_hyperarousal,0.007,0.016,"[-0.025, 0.039]",0.44,0.665
wm_capacity_mean,ies_intrusion,0.040,0.071,"[-0.105, 0.184]",0.55,0.582
wm_capacity_mean,ies_avoidance,0.089,0.052,"[-0.017, 0.195]",1.69,0.098
wm_capacity_mean,ies_hyperarousal,-0.141,0.095,"[-0.333, 0.052]",-1.48,0.148
epsilon_mean,ies_intrusion,-0.009,0.005,"[-0.019, 0.001]",-1.78,0.083
epsilon_mean,ies_avoidance,0.004,0.004,"[-0.003, 0.011]",1.10,0.279
epsilon_mean,ies_hyperarousal,0.009,0.007,"[-0.004, 0.022]",1.34,0.186
