Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r
alpha_pos_mean,lec_total_events,43,0.001,0.012,0.08,0.936,0.000,"[-0.024, 0.026]",0.013
alpha_pos_mean,lec_personal_events,43,0.027,0.019,1.42,0.164,0.047,"[-0.011, 0.064]",0.216
alpha_pos_mean,ies_total,43,0.002,0.003,0.59,0.558,0.008,"[-0.004, 0.007]",0.092
alpha_pos_mean,ies_intrusion,43,0.001,0.006,0.12,0.905,0.000,"[-0.012, 0.013]",0.019
alpha_pos_mean,ies_avoidance,43,0.004,0.006,0.67,0.504,0.011,"[-0.008, 0.016]",0.105
alpha_pos_mean,ies_hyperarousal,43,0.009,0.010,0.93,0.360,0.021,"[-0.011, 0.028]",0.143
alpha_neg_mean,lec_total_events,43,-0.009,0.012,-0.79,0.435,0.015,"[-0.033, 0.014]",-0.122
alpha_neg_mean,lec_personal_events,43,-0.022,0.018,-1.25,0.220,0.037,"[-0.059, 0.014]",-0.191
alpha_neg_mean,ies_total,43,0.002,0.002,0.87,0.392,0.018,"[-0.003, 0.007]",0.134
alpha_neg_mean,ies_intrusion,43,0.004,0.006,0.65,0.520,0.010,"[-0.008, 0.016]",0.101
alpha_neg_mean,ies_avoidance,43,0.005,0.005,0.90,0.375,0.019,"[-0.006, 0.016]",0.139
alpha_neg_mean,ies_hyperarousal,43,0.007,0.009,0.75,0.457,0.014,"[-0.012, 0.026]",0.116
phi_mean,lec_total_events,43,0.009,0.009,0.93,0.356,0.021,"[-0.010, 0.028]",0.144
phi_mean,lec_personal_events,43,0.024,0.014,1.62,0.113,0.060,"[-0.006, 0.053]",0.246
phi_mean,ies_total,43,0.001,0.002,0.25,0.801,0.002,"[-0.004, 0.005]",0.040
phi_mean,ies_intrusion,43,0.001,0.005,0.31,0.759,0.002,"[-0.008, 0.011]",0.048
phi_mean,ies_avoidance,43,0.003,0.004,0.60,0.549,0.009,"[-0.006, 0.012]",0.094
phi_mean,ies_hyperarousal,43,-0.004,0.008,-0.54,0.592,0.007,"[-0.019, 0.011]",-0.084
rho_mean,lec_total_events,43,0.019,0.012,1.51,0.138,0.053,"[-0.006, 0.044]",0.230
rho_mean,lec_personal_events,43,0.043,0.019,2.30,0.027*,0.114,"[0.005, 0.081]",0.338
rho_mean,ies_total,43,0.000,0.003,0.10,0.924,0.000,"[-0.005, 0.006]",0.015
rho_mean,ies_intrusion,43,0.000,0.006,0.06,0.950,0.000,"[-0.013, 0.013]",0.010
rho_mean,ies_avoidance,43,-0.000,0.006,-0.04,0.968,0.000,"[-0.012, 0.012]",-0.006
rho_mean,ies_hyperarousal,43,0.003,0.010,0.33,0.741,0.003,"[-0.017, 0.024]",0.052
wm_capacity_mean,lec_total_events,43,-0.092,0.079,-1.15,0.256,0.031,"[-0.252, 0.069]",-0.177
wm_capacity_mean,lec_personal_events,43,0.036,0.126,0.29,0.777,0.002,"[-0.219, 0.291]",0.045
wm_capacity_mean,ies_total,43,0.020,0.017,1.17,0.248,0.032,"[-0.014, 0.053]",0.180
wm_capacity_mean,ies_intrusion,43,0.039,0.040,0.98,0.335,0.023,"[-0.042, 0.121]",0.151
wm_capacity_mean,ies_avoidance,43,0.068,0.037,1.85,0.072,0.077,"[-0.006, 0.142]",0.277
wm_capacity_mean,ies_hyperarousal,43,-0.008,0.064,-0.13,0.900,0.000,"[-0.138, 0.122]",-0.020
epsilon_mean,lec_total_events,43,-0.005,0.005,-0.98,0.334,0.023,"[-0.016, 0.006]",-0.151
epsilon_mean,lec_personal_events,43,-0.001,0.008,-0.17,0.866,0.001,"[-0.019, 0.016]",-0.026
epsilon_mean,ies_total,43,0.000,0.001,0.10,0.923,0.000,"[-0.002, 0.002]",0.015
epsilon_mean,ies_intrusion,43,-0.001,0.003,-0.53,0.601,0.007,"[-0.007, 0.004]",-0.082
epsilon_mean,ies_avoidance,43,0.001,0.003,0.42,0.675,0.004,"[-0.004, 0.006]",0.066
epsilon_mean,ies_hyperarousal,43,0.002,0.004,0.49,0.627,0.006,"[-0.007, 0.011]",0.076
