Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,162,-0.006,0.014,-0.41,0.684,0.001,"[-0.034, 0.022]",-0.032,0.997,False,0.834,0.0000,False,0.164,0.6855,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,162,0.000,0.017,0.02,0.983,0.000,"[-0.033, 0.034]",0.002,0.997,False,0.821,0.0000,False,0.010,0.9223,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,162,0.006,0.017,0.38,0.702,0.001,"[-0.026, 0.039]",0.030,0.997,False,0.833,0.0000,False,0.179,0.6719,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,162,-0.000,0.006,-0.02,0.981,0.000,"[-0.011, 0.011]",-0.002,0.997,False,0.821,0.0000,False,0.000,0.9871,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,162,-0.001,0.047,-0.03,0.977,0.000,"[-0.094, 0.092]",-0.002,0.997,False,0.821,0.0000,False,0.874,0.3497,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,162,-0.020,0.033,-0.60,0.548,0.002,"[-0.086, 0.046]",-0.048,0.997,False,0.837,0.0000,False,0.230,0.6317,True
alpha (Learning Rate) ~ IES-R Avoidance,alpha_mean,ies_avoidance,162,-0.000,0.001,-0.24,0.813,0.000,"[-0.002, 0.002]",-0.019,0.997,False,0.286,0.0000,False,0.019,0.8898,True
alpha (Learning Rate) ~ IES-R Hyperarousal,alpha_mean,ies_hyperarousal,162,-0.001,0.001,-0.73,0.467,0.003,"[-0.003, 0.002]",-0.058,0.997,False,0.306,0.0000,False,0.320,0.5713,True
alpha (Learning Rate) ~ IES-R Intrusion,alpha_mean,ies_intrusion,162,0.000,0.001,0.20,0.839,0.000,"[-0.002, 0.003]",0.016,0.997,False,0.285,0.0000,False,0.272,0.6017,True
alpha (Learning Rate) ~ IES-R Total Score,alpha_mean,ies_total,162,-0.000,0.000,-0.27,0.786,0.000,"[-0.001, 0.001]",-0.021,0.997,False,0.287,0.0000,False,0.004,0.9481,True
