Parameter,Predictor,β,SE,95% CI,t,p
alpha_mean,ies_intrusion,0.005,0.003,"[-0.001, 0.011]",1.66,0.100
alpha_mean,ies_avoidance,-0.000,0.002,"[-0.005, 0.004]",-0.15,0.881
alpha_mean,ies_hyperarousal,-0.006,0.003,"[-0.012, -0.000]",-2.12,0.035*
phi_mean,ies_intrusion,0.015,0.007,"[0.001, 0.030]",2.07,0.040*
phi_mean,ies_avoidance,0.001,0.005,"[-0.010, 0.012]",0.23,0.821
phi_mean,ies_hyperarousal,-0.014,0.007,"[-0.029, 0.000]",-1.96,0.052
rho_mean,ies_intrusion,0.009,0.006,"[-0.002, 0.021]",1.62,0.106
rho_mean,ies_avoidance,0.000,0.004,"[-0.008, 0.009]",0.11,0.916
rho_mean,ies_hyperarousal,-0.008,0.006,"[-0.019, 0.003]",-1.46,0.145
wm_capacity_mean,ies_intrusion,0.010,0.032,"[-0.053, 0.073]",0.31,0.757
wm_capacity_mean,ies_avoidance,0.034,0.024,"[-0.013, 0.080]",1.44,0.153
wm_capacity_mean,ies_hyperarousal,-0.052,0.032,"[-0.115, 0.010]",-1.65,0.101
kappa_mean,ies_intrusion,-0.020,0.011,"[-0.042, 0.001]",-1.87,0.063
kappa_mean,ies_avoidance,-0.002,0.008,"[-0.018, 0.014]",-0.25,0.807
kappa_mean,ies_hyperarousal,0.016,0.011,"[-0.005, 0.037]",1.47,0.144
phi_rl_mean,ies_intrusion,0.002,0.002,"[-0.003, 0.007]",0.78,0.435
phi_rl_mean,ies_avoidance,-0.002,0.002,"[-0.006, 0.002]",-1.05,0.297
phi_rl_mean,ies_hyperarousal,-0.001,0.002,"[-0.006, 0.004]",-0.48,0.630
epsilon_mean,ies_intrusion,-0.002,0.001,"[-0.004, 0.000]",-1.58,0.117
epsilon_mean,ies_avoidance,0.001,0.001,"[-0.001, 0.003]",1.07,0.285
epsilon_mean,ies_hyperarousal,0.001,0.001,"[-0.002, 0.003]",0.60,0.551
