parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
epsilon_mean,lec_total_events,162,-0.0041728576559530136,0.0011399243705877522,-3.6606443055528866,0.00034133004384202136,0.014335861841364898,0.014335861841364898,True,True,True,0.07727965544898618
epsilon_mean,lec_personal_events,162,-0.00403055163207971,0.0016365856076309114,-2.4627808122510966,0.014846134483418023,0.3117688241517785,0.623537648303557,True,False,False,0.03652352248740498
rho_mean,lec_personal_events,162,0.01790294236162787,0.008478755342502864,2.11150595086555,0.03628244033769493,0.507954164727729,1.0,True,False,False,0.027109930687384654
kappa_mean,lec_total_events,162,0.020561117267522792,0.011556303675368253,1.7792122676170148,0.07710350787553709,0.7500688896997286,1.0,False,False,False,0.019401126004220393
rho_mean,lec_total_events,162,0.010364920683168546,0.00606306978555444,1.7095169690877507,0.08929391544044388,0.7500688896997286,1.0,False,False,False,0.01793766481337722
kappa_mean,ies_intrusion,162,-0.009231088933093965,0.0057304283091477864,-1.6108898733377204,0.10917473743490619,0.7642231620443434,1.0,False,False,False,0.015959695708445798
alpha_mean,ies_hyperarousal,162,-0.002489735670986275,0.001625554007160691,-1.5316228559732847,0.1275903469752791,0.7655420818516746,1.0,False,False,False,0.01444981996499528
phi_mean,lec_personal_events,162,0.014944492706981564,0.011194300068500135,1.3350091221008245,0.18376976405579337,0.8151595585574547,1.0,False,False,False,0.011016346744997851
phi_rl_mean,ies_avoidance,162,-0.0014132566381128105,0.0011312455566503193,-1.2492925429007136,0.21338262882011613,0.8151595585574547,1.0,False,False,False,0.009660341592915955
phi_mean,ies_intrusion,162,0.004858292048511216,0.003947173737690817,1.2308280231296387,0.22019349314618086,0.8151595585574547,1.0,False,False,False,0.009379551172299494
wm_capacity_mean,lec_personal_events,162,-0.05474100644555283,0.04776841072673776,-1.1459666673589426,0.25351998190240593,0.8151595585574547,1.0,False,False,False,0.00814092882848394
kappa_mean,ies_total,162,-0.002261585866210475,0.0019900564754356097,-1.1364430578360492,0.25747043201428327,0.8151595585574547,1.0,False,False,False,0.008007258913790505
kappa_mean,ies_avoidance,162,-0.005218750023628486,0.004974162190931443,-1.0491716641534043,0.29568129765179824,0.8151595585574547,1.0,False,False,False,0.006832749720075193
phi_rl_mean,ies_total,162,-0.00045760848970028594,0.00045361815686543794,-1.0087966779425712,0.31459531594146994,0.8151595585574547,1.0,False,False,False,0.006320242571931645
rho_mean,ies_intrusion,162,0.0029724980268556233,0.0030193888914811567,0.984470081095605,0.3263707833909877,0.8151595585574547,1.0,False,False,False,0.006020912403858603
phi_rl_mean,ies_hyperarousal,162,-0.0012660780075491296,0.0013353161608679904,-0.9481484944555346,0.34448371527006516,0.8151595585574547,1.0,False,False,False,0.005587266845513694
alpha_mean,ies_total,162,-0.0005116900030875395,0.0005549806337959989,-0.9219961417169518,0.3579187685786319,0.8151595585574547,1.0,False,False,False,0.005284901952188226
phi_mean,lec_total_events,162,0.0068942785647192984,0.007993148583564594,0.8625235090581479,0.38969045308414973,0.8151595585574547,1.0,False,False,False,0.0046281481727371565
