Parameter,Predictor,β,SE,95% CI,t,p
alpha_mean,ies_intrusion,0.004,0.003,"[-0.002, 0.009]",1.35,0.178
alpha_mean,ies_avoidance,0.001,0.002,"[-0.003, 0.005]",0.25,0.801
alpha_mean,ies_hyperarousal,-0.005,0.003,"[-0.010, 0.000]",-1.89,0.060
phi_mean,ies_intrusion,0.004,0.004,"[-0.004, 0.012]",0.92,0.359
phi_mean,ies_avoidance,0.002,0.003,"[-0.004, 0.008]",0.61,0.544
phi_mean,ies_hyperarousal,-0.004,0.004,"[-0.012, 0.003]",-1.12,0.265
rho_mean,ies_intrusion,0.003,0.006,"[-0.008, 0.014]",0.52,0.603
rho_mean,ies_avoidance,0.004,0.004,"[-0.004, 0.013]",1.03,0.303
rho_mean,ies_hyperarousal,-0.008,0.006,"[-0.019, 0.003]",-1.47,0.144
wm_capacity_mean,ies_intrusion,0.039,0.030,"[-0.020, 0.098]",1.32,0.190
wm_capacity_mean,ies_avoidance,-0.012,0.022,"[-0.055, 0.032]",-0.53,0.600
wm_capacity_mean,ies_hyperarousal,-0.010,0.030,"[-0.069, 0.049]",-0.34,0.737
kappa_s_mean,ies_intrusion,-0.004,0.007,"[-0.017, 0.009]",-0.66,0.508
kappa_s_mean,ies_avoidance,-0.002,0.005,"[-0.012, 0.008]",-0.38,0.707
kappa_s_mean,ies_hyperarousal,0.002,0.007,"[-0.011, 0.015]",0.32,0.753
epsilon_mean,ies_intrusion,-0.001,0.001,"[-0.003, 0.001]",-1.04,0.302
epsilon_mean,ies_avoidance,0.001,0.001,"[-0.000, 0.003]",1.69,0.093
epsilon_mean,ies_hyperarousal,-0.001,0.001,"[-0.003, 0.001]",-0.85,0.394
