Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,162,0.008,0.014,0.57,0.571,0.002,"[-0.019, 0.035]",0.045,0.857,False,0.831,0.0000,False,0.247,0.6194,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,162,0.013,0.016,0.78,0.436,0.004,"[-0.019, 0.044]",0.062,0.814,False,0.837,0.0000,False,0.706,0.4007,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,162,0.021,0.016,1.34,0.183,0.011,"[-0.010, 0.052]",0.105,0.814,False,0.854,0.0000,False,1.217,0.2699,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,162,0.005,0.005,0.95,0.341,0.006,"[-0.006, 0.016]",0.075,0.814,False,0.844,0.0000,False,0.746,0.3877,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,162,0.039,0.045,0.86,0.389,0.005,"[-0.050, 0.127]",0.068,0.814,False,0.842,0.0000,False,1.421,0.2333,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,162,-0.019,0.032,-0.58,0.562,0.002,"[-0.082, 0.045]",-0.046,0.857,False,0.829,0.0000,False,0.230,0.6315,True
alpha (Learning Rate) ~ IES-R Avoidance,alpha_mean,ies_avoidance,162,-0.000,0.001,-0.25,0.801,0.000,"[-0.003, 0.002]",-0.020,0.931,False,0.346,0.0000,False,0.057,0.8107,True
alpha (Learning Rate) ~ IES-R Hyperarousal,alpha_mean,ies_hyperarousal,162,-0.002,0.001,-1.09,0.276,0.007,"[-0.005, 0.001]",-0.086,0.814,False,0.387,0.0000,False,0.653,0.4192,True
alpha (Learning Rate) ~ IES-R Intrusion,alpha_mean,ies_intrusion,162,0.000,0.001,0.01,0.996,0.000,"[-0.003, 0.003]",0.000,0.996,False,0.341,0.0000,False,0.130,0.7186,True
alpha (Learning Rate) ~ IES-R Total Score,alpha_mean,ies_total,162,-0.000,0.001,-0.47,0.639,0.001,"[-0.001, 0.001]",-0.037,0.858,False,0.355,0.0000,False,0.061,0.8045,True
alpha (Learning Rate) ~ LEC-5 Personal Events,alpha_mean,lec_personal_events,162,0.002,0.004,0.47,0.641,0.001,"[-0.006, 0.010]",0.037,0.858,False,0.356,0.0000,False,0.562,0.4535,True
alpha (Learning Rate) ~ LEC-5 Total Events,alpha_mean,lec_total_events,162,0.001,0.003,0.40,0.691,0.001,"[-0.005, 0.007]",0.031,0.858,False,0.350,0.0000,False,0.027,0.8691,True
epsilon (Random Responding) ~ IES-R Avoidance,epsilon_mean,ies_avoidance,162,0.000,0.001,0.09,0.931,0.000,"[-0.001, 0.001]",0.007,0.996,False,0.957,0.0001,False,0.021,0.8850,True
epsilon (Random Responding) ~ IES-R Hyperarousal,epsilon_mean,ies_hyperarousal,162,-0.001,0.001,-1.14,0.258,0.008,"[-0.002, 0.001]",-0.089,0.814,False,0.962,0.0002,False,0.357,0.5502,True
epsilon (Random Responding) ~ IES-R Intrusion,epsilon_mean,ies_intrusion,162,-0.001,0.001,-1.17,0.245,0.008,"[-0.002, 0.000]",-0.092,0.814,False,0.962,0.0002,False,0.435,0.5093,True
epsilon (Random Responding) ~ IES-R Total Score,epsilon_mean,ies_total,162,-0.000,0.000,-0.75,0.452,0.004,"[-0.001, 0.000]",-0.059,0.814,False,0.960,0.0001,False,0.182,0.6695,True
epsilon (Random Responding) ~ LEC-5 Personal Events,epsilon_mean,lec_personal_events,162,-0.005,0.002,-2.64,0.009**,0.042,"[-0.008, -0.001]",-0.204,0.164,False,0.968,0.0009,False,0.296,0.5864,True
epsilon (Random Responding) ~ LEC-5 Total Events,epsilon_mean,lec_total_events,162,-0.004,0.001,-3.40,0.0009***,0.067,"[-0.006, -0.002]",-0.259,0.031*,True,0.968,0.0008,False,1.140,0.2856,True
kappa_s (Stimulus-Specific Perseveration) ~ IES-R Avoidance,kappa_s_mean,ies_avoidance,162,-0.003,0.003,-1.13,0.260,0.008,"[-0.009, 0.003]",-0.089,0.814,False,0.796,0.0000,False,0.235,0.6281,True
kappa_s (Stimulus-Specific Perseveration) ~ IES-R Hyperarousal,kappa_s_mean,ies_hyperarousal,162,-0.003,0.004,-0.90,0.369,0.005,"[-0.010, 0.004]",-0.071,0.814,False,0.795,0.0000,False,0.172,0.6785,True
kappa_s (Stimulus-Specific Perseveration) ~ IES-R Intrusion,kappa_s_mean,ies_intrusion,162,-0.004,0.003,-1.24,0.215,0.010,"[-0.011, 0.003]",-0.098,0.814,False,0.801,0.0000,False,0.736,0.3909,True
kappa_s (Stimulus-Specific Perseveration) ~ IES-R Total Score,kappa_s_mean,ies_total,162,-0.001,0.001,-1.19,0.236,0.009,"[-0.004, 0.001]",-0.094,0.814,False,0.798,0.0000,False,0.393,0.5305,True
kappa_s (Stimulus-Specific Perseveration) ~ LEC-5 Personal Events,kappa_s_mean,lec_personal_events,162,-0.010,0.010,-1.03,0.307,0.007,"[-0.030, 0.009]",-0.081,0.814,False,0.802,0.0000,False,0.349,0.5546,True
kappa_s (Stimulus-Specific Perseveration) ~ LEC-5 Total Events,kappa_s_mean,lec_total_events,162,-0.003,0.007,-0.46,0.645,0.001,"[-0.017, 0.011]",-0.037,0.858,False,0.788,0.0000,False,0.000,0.9926,True
phi (WM Decay Rate) ~ IES-R Avoidance,phi_mean,ies_avoidance,162,0.001,0.002,0.77,0.443,0.004,"[-0.002, 0.005]",0.061,0.814,False,0.782,0.0000,False,0.003,0.9541,True
phi (WM Decay Rate) ~ IES-R Hyperarousal,phi_mean,ies_hyperarousal,162,0.000,0.002,0.09,0.925,0.000,"[-0.004, 0.004]",0.007,0.996,False,0.781,0.0000,False,0.040,0.8411,True
phi (WM Decay Rate) ~ IES-R Intrusion,phi_mean,ies_intrusion,162,0.002,0.002,0.80,0.426,0.004,"[-0.003, 0.006]",0.063,0.814,False,0.785,0.0000,False,0.046,0.8309,True
phi (WM Decay Rate) ~ IES-R Total Score,phi_mean,ies_total,162,0.000,0.001,0.62,0.539,0.002,"[-0.001, 0.002]",0.049,0.857,False,0.782,0.0000,False,0.002,0.9689,True
phi (WM Decay Rate) ~ LEC-5 Personal Events,phi_mean,lec_personal_events,162,0.006,0.006,0.99,0.324,0.006,"[-0.006, 0.018]",0.078,0.814,False,0.786,0.0000,False,0.013,0.9097,True
phi (WM Decay Rate) ~ LEC-5 Total Events,phi_mean,lec_total_events,162,0.004,0.004,0.93,0.354,0.005,"[-0.004, 0.012]",0.073,0.814,False,0.786,0.0000,False,0.429,0.5123,True
rho (WM Weight) ~ IES-R Avoidance,rho_mean,ies_avoidance,162,0.001,0.003,0.40,0.687,0.001,"[-0.004, 0.006]",0.032,0.858,False,0.798,0.0000,False,1.344,0.2463,True
rho (WM Weight) ~ IES-R Hyperarousal,rho_mean,ies_hyperarousal,162,-0.002,0.003,-0.66,0.511,0.003,"[-0.008, 0.004]",-0.052,0.857,False,0.792,0.0000,False,0.006,0.9383,True
rho (WM Weight) ~ IES-R Intrusion,rho_mean,ies_intrusion,162,0.000,0.003,0.03,0.974,0.000,"[-0.006, 0.006]",0.003,0.996,False,0.795,0.0000,False,0.804,0.3700,True
rho (WM Weight) ~ IES-R Total Score,rho_mean,ies_total,162,-0.000,0.001,-0.05,0.960,0.000,"[-0.002, 0.002]",-0.004,0.996,False,0.794,0.0000,False,0.617,0.4323,True
rho (WM Weight) ~ LEC-5 Personal Events,rho_mean,lec_personal_events,162,0.003,0.008,0.36,0.722,0.001,"[-0.014, 0.020]",0.028,0.867,False,0.797,0.0000,False,1.195,0.2744,True
rho (WM Weight) ~ LEC-5 Total Events,rho_mean,lec_total_events,162,0.007,0.006,1.09,0.277,0.007,"[-0.005, 0.018]",0.086,0.814,False,0.809,0.0000,False,2.106,0.1467,True
