parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
epsilon_mean,lec_total_events,162,-0.004089489202298593,0.0012032888984538105,-3.3985929792533294,0.0008549563394775201,0.030778428221190725,0.030778428221190725,True,True,True,0.06732967065861895
epsilon_mean,lec_personal_events,162,-0.004523883211226711,0.0017136614611094499,-2.639893184210306,0.00911414042940979,0.16405452772937623,0.32810905545875246,True,False,False,0.04173849349550429
wm_capacity_mean,ies_intrusion,162,0.021083701124119416,0.01576187190207549,1.3376394158705958,0.1829122716717706,0.8140912973160402,1.0,False,False,False,0.011059318736456825
kappa_s_mean,ies_intrusion,162,-0.004339353627173786,0.0034869993425547504,-1.2444377531756452,0.21515832674266036,0.8140912973160402,1.0,False,False,False,0.00958612503477907
kappa_s_mean,ies_total,162,-0.001435236608260459,0.001206596930056389,-1.1894913475317601,0.23600854493948686,0.8140912973160402,1.0,False,False,False,0.008765546157370685
epsilon_mean,ies_intrusion,162,-0.0007173515103707531,0.0006141428733933028,-1.168053137875223,0.24452289205310293,0.8140912973160402,1.0,False,False,False,0.008455077894755636
epsilon_mean,ies_hyperarousal,162,-0.0007101639546046593,0.0006252206570098109,-1.1358613101510424,0.2577131339354294,0.8140912973160402,1.0,False,False,False,0.007999128704373915
kappa_s_mean,ies_avoidance,162,-0.0034093304645235476,0.003015390516093051,-1.1306430945935695,0.2598973080637876,0.8140912973160402,1.0,False,False,False,0.007926381793796788
alpha_mean,ies_hyperarousal,162,-0.0016083258768690256,0.0014713577711768968,-1.0930895995353815,0.2759975001031959,0.8140912973160402,1.0,False,False,False,0.0074124260832080235
rho_mean,lec_total_events,162,0.0065496062006346846,0.006007798771780489,1.0901840173807325,0.27727122077791216,0.8140912973160402,1.0,False,False,False,0.007373362137901629
kappa_s_mean,lec_personal_events,162,-0.010165315363359283,0.009912671969471756,-1.0254869115679,0.3066813872957012,0.8140912973160402,1.0,False,False,False,0.006529728689212533
phi_mean,lec_personal_events,162,0.005968795542661858,0.006033589336808733,0.9892611527682882,0.32402905287765593,0.8140912973160402,1.0,False,False,False,0.0060793012215427655
wm_capacity_mean,ies_total,162,0.005218992508168492,0.005466630251581461,0.954700111034338,0.3411695412263497,0.8140912973160402,1.0,False,False,False,0.005664309711768123
phi_mean,lec_total_events,162,0.0039961189942961176,0.004295873521656951,0.9302226832681015,0.3536571698260459,0.8140912973160402,1.0,False,False,False,0.0053791225569796985
kappa_s_mean,ies_hyperarousal,162,-0.0032015826387649404,0.0035572221580229234,-0.9000232475062382,0.3694604958129568,0.8140912973160402,1.0,False,False,False,0.0050372590962145525
wm_capacity_mean,lec_personal_events,162,0.03878948898501234,0.04488292397281707,0.8642371207478559,0.38875143630335707,0.8140912973160402,1.0,False,False,False,0.004646470780617973
phi_mean,ies_intrusion,162,0.0016978800355169953,0.0021279812993936103,0.7978829682388766,0.42612100055457214,0.8140912973160402,1.0,False,False,False,0.003963089126125308
wm_capacity_mean,ies_hyperarousal,162,0.012573882548356556,0.016101289493199243,0.7809239473439336,0.43600111734723757,0.8140912973160402,1.0,False,False,False,0.003797041346519703
phi_mean,ies_avoidance,162,0.0014156574404821697,0.0018388882710526917,0.7698441839926257,0.4425274315545078,0.8140912973160402,1.0,False,False,False,0.003690455512585289
epsilon_mean,ies_total,162,-0.00016045098768358273,0.00021294850805121028,-0.753473171293584,0.45227294295335574,0.8140912973160402,1.0,False,False,False,0.003535715730563327
rho_mean,ies_hyperarousal,162,-0.001997950818254285,0.0030339338822130864,-0.658534726141392,0.5111410962129377,0.8566044142808215,1.0,False,False,False,0.0027030983644483753
phi_mean,ies_total,162,0.0004536509262912357,0.0007366250392450734,0.6158505374133869,0.5388682631937893,0.8566044142808215,1.0,False,False,False,0.002364843536050487
wm_capacity_mean,lec_total_events,162,-0.01857034683227547,0.031985879657628974,-0.5805795254358822,0.5623406947155399,0.8566044142808215,1.0,False,False,False,0.002102274788482683
wm_capacity_mean,ies_avoidance,162,0.007765922913541088,0.013680875965778438,0.5676480755301702,0.5710696095205476,0.8566044142808215,1.0,False,False,False,0.0020098544601931945
alpha_mean,ies_total,162,-0.00023543110919302585,0.0005015352437164597,-0.4694208675116072,0.6394079051850798,0.8575165382971316,1.0,False,False,False,0.001375330553646692
alpha_mean,lec_personal_events,162,0.0019206597101308637,0.004115704895650697,0.4666660411344204,0.6413736255945461,0.8575165382971316,1.0,False,False,False,0.001359257366830624
kappa_s_mean,lec_total_events,162,-0.003268095569479508,0.007073699765959869,-0.46200654220670656,0.6447042124344434,0.8575165382971316,1.0,False,False,False,0.0013322854291061281
rho_mean,ies_avoidance,162,0.001040920662534406,0.0025777257891920033,0.40381357353789205,0.686889009003826,0.8575165382971316,1.0,False,False,False,0.0010181211365053455
alpha_mean,lec_total_events,162,0.0011676121414718676,0.00292986068566465,0.3985213860798267,0.6907772114060227,0.8575165382971316,1.0,False,False,False,0.000991636276178487
rho_mean,lec_personal_events,162,0.003016140953241047,0.008468910083640398,0.35614275313506993,0.7222028255585118,0.8666433906702141,1.0,False,False,False,0.000792107447219248
alpha_mean,ies_avoidance,162,-0.0003156560831488142,0.0012534639675782439,-0.25182701004056607,0.8014979532521128,0.9307718166798729,1.0,False,False,False,0.0003961982334050873
phi_mean,ies_hyperarousal,162,0.0002048812252889237,0.0021701115910337052,0.09441045618826041,0.9249012384972926,0.9958963913962706,1.0,False,False,False,5.570523573938946e-05
epsilon_mean,ies_avoidance,162,4.608085391504652e-05,0.0005328821554239477,0.08647475515179476,0.9311971461752728,0.9958963913962706,1.0,False,False,False,4.6734586267471734e-05
rho_mean,ies_total,162,-5.216996295387408e-05,0.0010324210557327452,-0.05053167277458056,0.9597617385060475,0.9958963913962706,1.0,False,False,False,1.5958807521365692e-05
rho_mean,ies_intrusion,162,9.827436707390976e-05,0.0029848900175116428,0.03292394912286795,0.9737762704892889,0.9958963913962706,1.0,False,False,False,6.774869262482497e-06
alpha_mean,ies_intrusion,162,7.474396723437333e-06,0.0014510078496757525,0.005151175939611622,0.9958963913962706,0.9958963913962706,1.0,False,False,False,1.6584130724250912e-07
