Parameter,Predictor,β,SE,95% CI,t,p
alpha_mean,ies_intrusion,0.004,0.002,"[-0.001, 0.009]",1.51,0.132
alpha_mean,ies_avoidance,-0.001,0.002,"[-0.004, 0.003]",-0.30,0.763
alpha_mean,ies_hyperarousal,-0.002,0.002,"[-0.007, 0.002]",-0.95,0.341
phi_mean,ies_intrusion,0.005,0.004,"[-0.002, 0.012]",1.28,0.203
phi_mean,ies_avoidance,0.000,0.003,"[-0.005, 0.005]",0.07,0.941
phi_mean,ies_hyperarousal,-0.001,0.004,"[-0.008, 0.006]",-0.39,0.698
rho_mean,ies_intrusion,0.005,0.005,"[-0.005, 0.014]",0.91,0.364
rho_mean,ies_avoidance,0.001,0.004,"[-0.006, 0.008]",0.24,0.808
rho_mean,ies_hyperarousal,-0.003,0.005,"[-0.013, 0.007]",-0.62,0.537
wm_capacity_mean,ies_intrusion,0.039,0.031,"[-0.022, 0.100]",1.26,0.211
wm_capacity_mean,ies_avoidance,-0.014,0.023,"[-0.059, 0.032]",-0.60,0.552
wm_capacity_mean,ies_hyperarousal,0.004,0.031,"[-0.057, 0.065]",0.14,0.891
kappa_total_mean,ies_intrusion,-0.006,0.007,"[-0.021, 0.008]",-0.90,0.371
kappa_total_mean,ies_avoidance,-0.008,0.005,"[-0.019, 0.003]",-1.49,0.138
kappa_total_mean,ies_hyperarousal,0.012,0.007,"[-0.002, 0.026]",1.63,0.105
kappa_share_mean,ies_intrusion,-0.010,0.008,"[-0.026, 0.006]",-1.26,0.210
kappa_share_mean,ies_avoidance,0.007,0.006,"[-0.004, 0.019]",1.25,0.213
kappa_share_mean,ies_hyperarousal,-0.002,0.008,"[-0.018, 0.014]",-0.27,0.787
epsilon_mean,ies_intrusion,-0.001,0.001,"[-0.003, 0.002]",-0.60,0.548
epsilon_mean,ies_avoidance,0.001,0.001,"[-0.000, 0.003]",1.54,0.125
epsilon_mean,ies_hyperarousal,-0.001,0.001,"[-0.003, 0.001]",-0.89,0.376
