Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,162,0.014,0.014,1.02,0.311,0.006,"[-0.014, 0.043]",0.080,0.641,False,0.843,0.0000,False,0.778,0.3776,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,162,0.025,0.017,1.48,0.141,0.014,"[-0.008, 0.058]",0.116,0.625,False,0.856,0.0000,False,1.132,0.2873,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,162,0.030,0.016,1.86,0.065,0.021,"[-0.002, 0.063]",0.145,0.625,False,0.866,0.0000,False,1.816,0.1778,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,162,0.009,0.006,1.55,0.122,0.015,"[-0.002, 0.020]",0.122,0.625,False,0.859,0.0000,False,1.149,0.2837,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,162,0.024,0.047,0.52,0.602,0.002,"[-0.068, 0.117]",0.041,0.767,False,0.827,0.0000,False,1.567,0.2107,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,162,-0.014,0.033,-0.42,0.677,0.001,"[-0.080, 0.052]",-0.033,0.790,False,0.818,0.0000,False,0.001,0.9751,True
alpha (Learning Rate) ~ IES-R Avoidance,alpha_mean,ies_avoidance,162,0.000,0.001,0.36,0.716,0.001,"[-0.002, 0.003]",0.029,0.813,False,0.310,0.0000,False,0.007,0.9315,True
alpha (Learning Rate) ~ IES-R Hyperarousal,alpha_mean,ies_hyperarousal,162,0.000,0.001,0.21,0.830,0.000,"[-0.002, 0.003]",0.017,0.872,False,0.306,0.0000,False,0.060,0.8069,True
alpha (Learning Rate) ~ IES-R Intrusion,alpha_mean,ies_intrusion,162,0.001,0.001,1.05,0.296,0.007,"[-0.001, 0.004]",0.083,0.641,False,0.344,0.0000,False,0.631,0.4271,True
alpha (Learning Rate) ~ IES-R Total Score,alpha_mean,ies_total,162,0.000,0.000,0.58,0.562,0.002,"[-0.001, 0.001]",0.046,0.757,False,0.320,0.0000,False,0.048,0.8259,True
alpha (Learning Rate) ~ LEC-5 Personal Events,alpha_mean,lec_personal_events,162,0.003,0.004,0.76,0.451,0.004,"[-0.004, 0.010]",0.060,0.694,False,0.329,0.0000,False,0.883,0.3474,True
