parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
epsilon_mean,lec_total_events,162,-0.004623537072938913,0.0012045002191466557,-3.8385522886949075,0.00017788621161189712,0.00747122088769968,0.007471220887699679,True,True,True,0.08432499048450814
epsilon_mean,lec_personal_events,162,-0.0042404878717336855,0.0017364694613592328,-2.442016958026095,0.01569445680701351,0.32958359294728373,0.6591671858945675,True,False,False,0.03593229073891635
phi_mean,ies_intrusion,162,0.003630356029633328,0.0018797803475772991,1.9312660834614044,0.05521775004509142,0.6246987447699488,1.0,False,False,False,0.022780147186906907
wm_capacity_mean,ies_intrusion,162,0.03035145553378245,0.016328415951333986,1.858812001374991,0.06489060410923934,0.6246987447699488,1.0,False,False,False,0.021138406338578664
phi_mean,ies_total,162,0.00110536132079198,0.0006518896051188604,1.6956265479803703,0.0919016471624757,0.6246987447699488,1.0,False,False,False,0.01765247430918737
wm_capacity_mean,ies_total,162,0.008799142719382898,0.005665849793662569,1.5530137648945468,0.12239563441903621,0.6246987447699488,1.0,False,False,False,0.014850220152688443
wm_capacity_mean,ies_hyperarousal,162,0.024695970296538795,0.016683760648710425,1.480240026006827,0.14077559475408855,0.6246987447699488,1.0,False,False,False,0.01350943666006521
kappa_total_mean,ies_avoidance,162,-0.0048248914338859415,0.0033078082041947884,-1.4586369994993265,0.14662532134649708,0.6246987447699488,1.0,False,False,False,0.01312313023174505
kappa_share_mean,lec_total_events,162,0.012273534684613795,0.008502904140380668,1.4434520820158652,0.15084823055080013,0.6246987447699488,1.0,False,False,False,0.012854813846155833
phi_mean,ies_avoidance,162,0.0023142751659614327,0.0016327870512237803,1.4173772165983767,0.15831705323727366,0.6246987447699488,1.0,False,False,False,0.012400290680055548
phi_mean,lec_personal_events,162,0.007507557042449585,0.005364619163146489,1.3994575969203018,0.16361157601117707,0.6246987447699488,1.0,False,False,False,0.012092491524038906
phi_mean,ies_hyperarousal,162,0.00259919013429438,0.001924480099026884,1.3505934073356558,0.1787328239267432,0.6255648837436012,1.0,False,False,False,0.011272131426485754
kappa_share_mean,ies_intrusion,162,-0.005270353539671492,0.004215735160895469,-1.2501623888897258,0.21306560316217404,0.6412266631683712,1.0,False,False,False,0.009673668525175372
rho_mean,lec_total_events,162,0.0061605886651420845,0.005331635666823952,1.1554781778275443,0.24961726570730056,0.6412266631683712,1.0,False,False,False,0.008275505904572156
rho_mean,ies_intrusion,162,0.002869639713464913,0.002640433312865894,1.08680635844207,0.27875695928375216,0.6412266631683712,1.0,False,False,False,0.007328078221064072
kappa_total_mean,ies_intrusion,162,-0.004054050114684919,0.0038403744809561474,-1.0556392702816764,0.2927244240961989,0.6412266631683712,1.0,False,False,False,0.006916665716620196
alpha_mean,ies_intrusion,162,0.0013548912296116383,0.0012928654376841075,1.047975442857098,0.29623039293117776,0.6412266631683712,1.0,False,False,False,0.006817283934442475
wm_capacity_mean,ies_avoidance,162,0.014451949523553019,0.014213892253416925,1.016748211249376,0.3108082226012275,0.6412266631683712,1.0,False,False,False,0.0064196278868862144
kappa_total_mean,ies_total,162,-0.0013378522471177853,0.0013287391533311874,-1.0068584520624315,0.31552306142249587,0.6412266631683712,1.0,False,False,False,0.0062961321918518776
rho_mean,lec_personal_events,162,0.007523948192976527,0.007498597493932517,1.0033807254042535,0.31719224261956647,0.6412266631683712,1.0,False,False,False,0.006252984654641636
kappa_share_mean,lec_personal_events,162,-0.011379064140885648,0.011990438745107338,-0.9490114901365757,0.34404598181248724,0.6412266631683712,1.0,False,False,False,0.005597385471177718
kappa_share_mean,ies_hyperarousal,162,-0.004019441723429645,0.004299971649894845,-0.9347600520873061,0.3513205848384291,0.6412266631683712,1.0,False,False,False,0.005431440566486367
phi_mean,lec_total_events,162,0.003541513241225228,0.0038313077108684517,0.9243614735456643,0.3566901265106317,0.6412266631683712,1.0,False,False,False,0.005311908778006358
rho_mean,ies_total,162,0.0008281596944889764,0.0009143073785721716,0.9057782031490025,0.36641523609621207,0.6412266631683712,1.0,False,False,False,0.005101554150250265
rho_mean,ies_avoidance,162,0.0019390652235898192,0.002284678092320338,0.8487257920963773,0.3973018962869601,0.667467185762093,1.0,False,False,False,0.004481918657414319
kappa_share_mean,ies_total,162,-0.0011775982162095114,0.0014622993971666167,-0.8053058207445422,0.42183835291884053,0.6814311854842808,1.0,False,False,False,0.004036871769243944
alpha_mean,lec_personal_events,162,0.002779802529452787,0.0036756460548684837,0.7562759003334584,0.4505958692595321,0.694233083205752,1.0,False,False,False,0.0035619747153444736
kappa_total_mean,lec_total_events,162,0.005720103999887716,0.007772119179668882,0.7359773914495494,0.46282205547050137,0.694233083205752,1.0,False,False,False,0.00337396979416571
epsilon_mean,ies_hyperarousal,162,-0.00044740716284980854,0.0006331857212327408,-0.7065970501968325,0.4808446485048521,0.6963956978346134,1.0,False,False,False,0.0031107889907062702
epsilon_mean,ies_intrusion,162,-0.0003622175569395209,0.0006224213084692974,-0.5819491588909641,0.5614199951194077,0.7568212526137666,1.0,False,False,False,0.0021121843811451324
alpha_mean,ies_total,162,0.0002603409147405952,0.0004482413570244423,0.5808052083119117,0.5621889347773297,0.7568212526137666,1.0,False,False,False,0.002103906059399807
rho_mean,ies_hyperarousal,162,0.0015075999115309133,0.002694709936969688,0.5594664905664286,0.5766257162771555,0.7568212526137666,1.0,False,False,False,0.0019524477034896792
wm_capacity_mean,lec_personal_events,162,0.024427101879081627,0.046804094476131125,0.5219009608558673,0.6024610408305349,0.7667685974206807,1.0,False,False,False,0.0016994856624740207
alpha_mean,lec_total_events,162,0.0011314103610744431,0.002619257976048407,0.43195835286960427,0.6663532313916243,0.7902908759292844,1.0,False,False,False,0.00116481673604385
