Parameter,Predictor,beta,se,r,r_squared,p,n,ci_lower,ci_upper,significant
alpha_pos,IES-R Intrusion,-0.008631264068060923,0.010289893022359803,-0.0678795419952454,0.004607632221484284,0.40289321261020583,154,-0.028799454391886137,0.01153692625576429,No
alpha_pos,IES-R Avoidance,-0.009965805273715347,0.010281955963835882,-0.07837488139157046,0.006142622033142738,0.3339592830311885,154,-0.030118438962833675,0.010186828415402981,No
alpha_pos,IES-R Hyperarousal,-0.011581659498611268,0.010270810850874598,-0.09108257331851422,0.008296035162322517,0.26125367239541675,154,-0.03171244876632548,0.008549129769102944,No
alpha_neg,IES-R Intrusion,-0.00206214689902331,0.006634865705541143,-0.025201576567655544,0.000635119461495405,0.756374961191727,154,-0.01506648368188395,0.010942189883837331,No
alpha_neg,IES-R Avoidance,-0.0008924104500762442,0.00663657894732897,-0.010906182434444592,0.00011894481529338777,0.8932100505433851,154,-0.013900105186841025,0.012115284286688538,No
alpha_neg,IES-R Hyperarousal,-0.0015390714962201636,0.006635799556298626,-0.01880905195137128,0.0003537804353093838,0.8169007747197228,154,-0.01454523862656547,0.011467095634125143,No
phi,IES-R Intrusion,0.033500517701373696,0.014794849847563976,0.18064054874284372,0.0326310078501157,0.02496767302721364,154,0.0045026120001483046,0.06249842340259909,Yes
phi,IES-R Avoidance,0.03251104543752211,0.014809365163869402,0.17530514424846344,0.030731893599974573,0.029658285267195522,154,0.0034846897163380852,0.06153740115870614,Yes
phi,IES-R Hyperarousal,0.0428108323573095,0.014636029306078012,0.2308433654099969,0.05328865935381335,0.00397222419958854,154,0.0141242149173966,0.0714974497972224,Yes
rho,IES-R Intrusion,-0.029062514290448836,0.01810291949069186,-0.12912539723473396,0.01667336821102784,0.11048036026868456,154,-0.06454423649220489,0.006419207911307213,No
rho,IES-R Avoidance,-0.019085318825502375,0.01818999975466478,-0.08479649592824268,0.007190445721708477,0.29574207583556433,154,-0.054737718344645345,0.01656708069364059,No
rho,IES-R Hyperarousal,-0.04384524060884108,0.017906006437487274,-0.19480537898022504,0.037949135679629105,0.015477185718753695,154,-0.07894101322631614,-0.008749467991366028,Yes
capacity,IES-R Intrusion,0.02617787538156758,0.10120911000952033,0.020974781386071204,0.00043994145419347906,0.7962541614080076,154,-0.17219198023709228,0.22454773100022743,No
capacity,IES-R Avoidance,-0.059520264162533615,0.1011161974748421,-0.04769006310303525,0.0022743421187714843,0.5569816285204141,154,-0.2577080112132241,0.1386674828881569,No
capacity,IES-R Hyperarousal,0.0791928112158082,0.10102738490285128,0.06345251012118303,0.004026221040678834,0.4343334358658054,154,-0.1188208631937803,0.27720648562539674,No
epsilon,IES-R Intrusion,0.010854729028173776,0.008096611870736464,0.10810387138311532,0.01168644700801714,0.18203407717600983,154,-0.005014630238469691,0.026724088294817244,No
epsilon,IES-R Avoidance,0.011504649138805815,0.008090705764967112,0.1145765230602513,0.0131277796365763,0.1570869561679897,154,-0.004353134160529725,0.027362432438141356,No
epsilon,IES-R Hyperarousal,0.01339109241903086,0.008071588655942877,0.1333638940952794,0.0177859282482569,0.09916962552806499,154,-0.00242922134661718,0.0292114061846789,No
